Agency/Department,Contract Number,Contract Value,Supplier,Procurement Type,Description,Type of Solicitation,Effective From,Effective To
Fire and Emergency Services,21000011613,21657.60,WITMER PUBLIC SAFETY GROUP INC,Cooperative Agreement,Requisition 210013048/QUOTE ID 577434 - NXTBUNDLE - BULLARD NXT THERMAL IMAGER W/BLACK LOWER I RED UPPER HOSING WITH XTTRUCKMOUNT,"Supplies, Non Technology",04/26/2021 12:00:00 AM,07/31/2021 12:00:00 AM
Public Utilities,21000011739,35000000.00,POSSIE B CHENAULT INC,Invitation to Bid,IFB #210009110 / Annual Services Contract / Department of Public Utilities / Annual Maintenance and Repair Contract / Initial Period Two (2) Years with Four (4) - One (1) year renewal options.,"Non Professional Services, Non Technology",04/26/2021 12:00:00 AM,04/25/2026 12:00:00 AM
Public Utilities,21000011741,4000000.00,MESSER CONTRACTING LLC,Invitation to Bid,IFB #210009110 / Annual Services Contract / Department of Public Utilities / Annual Maintenance and Repair Contract / Initial Period Two (2) Years with Four (4) - One (1) year renewal options.,Construction - Term,04/29/2021 12:00:00 AM,04/25/2024 12:00:00 AM
Fire and Emergency Services,21000012130,116474.00,Ebenezer Electric LLC,Invitation to Bid,CLOSE UPON EXPIRATION PER AGENCY - IFB #210006826 / Construction / Department of Public Works / Contract #210000012130; IFB#210006826 - Fire Station Generator Install - FS#11 and FS#14 / No additional terms or conditions,Construction - Capital/Non-Capital,05/10/2021 12:00:00 AM,05/09/2022 12:00:00 AM
Public Works,21000012641,814755.14,Richardson-Wayland Electrical Company,Invitation to Bid,IFB #210008429 / Construction / Department of Public Works / Systematic Site Distance Improvements at Traffic Signals Project (UPC 113811) / No additional Renewals,Construction - Capital/Non-Capital,05/17/2021 12:00:00 AM,02/10/2023 12:00:00 AM
Emergency Communication,21000012667,65662.50,MCM Technology LLC,Cooperative Agreement,"Requisition 210013770/COOPERATIVE HGAC EC07-20 HGACBUY FOR MCM TECHNOLOGY, LLC Software Applications Perpetual Licensing: 4031-MO-UP-CS-M Upgrade to Commshop powered by Motiondeck","Non Professional Services, Technology",05/18/2021 12:00:00 AM,06/30/2022 12:00:00 AM
Public Works,21000012731,6038044.85,Digital Traffic Systems Inc - INACTIVE,Invitation to Bid,Richmond Signal System-Phase III (UPC 105890)/Requisition 210008820/Term: 600 consecutive calendar days,Construction - Capital/Non-Capital,05/29/2021 12:00:00 AM,05/29/2025 12:00:00 AM
Public Works,21000012860,248105.43,SIMONS CONTRACTING CO,Invitation to Bid,IFB# 210010317 / VDOT Construction / DPW / 90 day Performance Period,Construction - Capital/Non-Capital,06/24/2021 12:00:00 AM,05/01/2023 12:00:00 AM
Public Works,21000013097,1250000.00,Clancy Systems Inc,Request for Proposal,RFP#200007349 Parking citation management Software and Hardware,"Non Professional Services, Technology",07/01/2021 12:00:00 AM,06/30/2026 12:00:00 AM
"Parks, Recreation and Community Facilities",21000013188,200000.00,JOHNSON CONTROLS INCORPORATED,Cooperative Agreement,"State Contract E194-90437 / Goods and Services / Parks, Recreation and Community Facilities / Four (4) - One (1) Year Renewals","Non Professional Services, Non Technology",04/01/2021 12:00:00 AM,03/31/2026 12:00:00 AM
Public Utilities,21000013250,27690.00,HACH COMPANY,Agency Request,Sole Source / Goods and Services / Department of Public Utilities / Maintenance and Repair Services of Hach brand Laboratory instruments / .Initial term of Three (3) years only.,"Non Professional Services, Technology",11/09/2021 12:00:00 AM,11/09/2024 12:00:00 AM
Public Works,21000013265,24662438.73,"Top Guard, Inc",Request for Proposal,"Opened to pay invoices *EXPIRED 31 October 2025* RFP / Services Non Technology and Non Professional / City Wide Contract / Security and Safety Services for all City Wide Buildings / Initial Term 3-years, 2x 1-year renewals and extension.","Non Professional Services, Non Technology",10/01/2021 12:00:00 AM,12/12/2025 12:00:00 AM
Public Utilities,21000013883,1255000.00,UNIVAR SOLUTIONS USA INC,Invitation to Bid,Sodium Hydroxide/Requisition No. 210010918,"Supplies, Non Technology",06/28/2021 12:00:00 AM,06/27/2027 12:00:00 AM
"Parks, Recreation and Community Facilities",21000014123,18500.00,Gibson Fireworks,Small Purchase,"Small Purchase / Commodity / Parks, Recreation and Community Facilities / Fire Works Display / No additional terms or conditions.",Commodity,06/29/2021 12:00:00 AM,10/01/2021 12:00:00 AM
Human Resources,21000014199,35869.74,GOVERNMENT JOBS.COM INC,Exception Purchase,Neo Go-Software License/Requisition 210015229/Term: 2 yr base w/ 4-one year renewal options.,"Non Professional Services, Non Technology",06/30/2021 12:00:00 AM,06/30/2023 12:00:00 AM
Public Utilities,21000014202,89650.00,ITRON INC,Demand Payment,"no renewal options Sole Source / Demand Payment / Department of Public Utilities / Itron Software Upgrade MVRS to FC/Requisition 220005949 / DPU / Demand Payment $76,150.00",Equipment - Non Technology,12/31/2021 12:00:00 AM,12/30/2022 12:00:00 AM
Human Resources,21000014234,1.00,AMERICAN FAMILY LIFE ASSURANCE COMPANY,Cooperative Agreement,Supplemental insurance benefits; JMU Contract UCPJMU6003;7-one-year renewal options;Requisition 210016136,"Non Professional Services, Non Technology",06/30/2021 12:00:00 AM,04/04/2024 12:00:00 AM
Public Utilities,22000000096,2000000.00,Tidewater Utility Construction,Exception Purchase,Emergency Capital Improvement Projects Annual Sewer Repair and Replacement Services/Requisition 210016056/Term: 120 consecutive calendar days.,Construction - Capital/Non-Capital,06/30/2021 12:00:00 AM,10/27/2021 12:00:00 AM
Public Utilities,22000000541,434024.35,Transmap Corporation,Request for Proposal,Change Order No. 1; added Data Collection for Alleys. RFP / Services - Non Technical / Department of Public Works / Road Condition Assessment / Initial Term of One (1) year with One (1) year extenstion. No additional Renewals.,"Non Professional Services, Non Technology",07/30/2021 12:00:00 AM,07/29/2022 12:00:00 AM
Information Technology,22000000570,4213008.32,AT&T Mobility National Accounts LLC,Cooperative Agreement,"Fairfax County Public Schools Contract #4400006674 / Commodity / DIT / Renewal 1 of 5 $900,000 is for FY25","Non Professional Services, Technology",07/01/2021 12:00:00 AM,06/30/2026 12:00:00 AM
Public Utilities,22000000604,21377.16,APPLIED INDUSTRIAL TECHNOLOGIES,Cooperative Agreement,Requisition 210014990/Cooperative Procurement (US Communities Contract 16154-RFP (U227623) Applied Industrial Technologies Quote# 509400644 Tank Parts,"Supplies, Non Technology",08/11/2021 12:00:00 AM,12/31/2021 12:00:00 AM
Public Utilities,22000000620,2308890.00,Hydrostructures PA,Invitation to Bid,"Requisition 210007970/IFB Requisition Request for 96"" Interceptor, CLRC Siphons and ACI River Crossing Cleaning Project:(Project#103963)",Construction - Capital/Non-Capital,10/12/2021 12:00:00 AM,03/31/2024 12:00:00 AM
City Wide,22000001033,70000.00,Guernsey Inc,Cooperative Agreement,"Cooperative Agreement using Commonwealth of Virginia Contract E194-72924-MA2080/Extension expires Oct 31, 2021","Supplies, Non Technology",07/23/2021 12:00:00 AM,01/31/2022 12:00:00 AM
Public Works,22000001070,150000.00,FLB Contractors Inc,Invitation to Bid,IFB #210010276 / Construction / Department of Public Works / Annual Bridge and Maintenance Repair Contract / Initial Term of Contract Two (2) years with Two (2) - Two (2) year renewals and One (1) Extension,Construction - Term,08/05/2021 12:00:00 AM,08/04/2023 12:00:00 AM
Public Works,22000001076,100000.00,M D MILLER CO INC - INACTIVE,Invitation to Bid,IFB #210008429 / Construction / Department of Public Works / Annual Bridge and Maintenance Repair Contract / Initial Term of Contract Two (2) years with Two (2) - Two (2) year renewals and One (1) Extension,Construction - Capital/Non-Capital,08/05/2021 12:00:00 AM,08/04/2023 12:00:00 AM
Public Works,22000001078,2008089.20,Curtis Contracting Inc,Invitation to Bid,"IFB #210010276 /Constr./ DPW/Annual Bridge and Maintenance Repair Contract /Initial Term of Contract Two (2) years w/Two (2)-Two (2) year renewals and One (1) Extension. Started w/ $1,008,089.20/Last Renewal.",Construction - Capital/Non-Capital,08/05/2021 12:00:00 AM,08/04/2027 12:00:00 AM
"Parks, Recreation and Community Facilities",22000001080,444292.00,Webb Development LLC,Invitation to Bid,"IFB / Construction - Non Capital / Parks, Recreation and Community Facilities / Broad Rock Complex Basketball Court Relocation / Term of 60 consecutive calendar days.",Construction - Term,08/02/2021 12:00:00 AM,08/01/2022 12:00:00 AM
Public Works,22000001081,500000.00,Corman Kokosing Construction Company,Invitation to Bid,IFB #210010276 / Construction / Department of Public Works / Annual Bridge and Maintenance Repair Contract / Initial Term of Contract Two (2) years with Two (2) - Two (2) year renewals and One (1) Extension,Construction - Capital/Non-Capital,08/05/2021 12:00:00 AM,08/04/2023 12:00:00 AM
Public Works,22000001452,3700000.00,Tidewater Utility Construction,Invitation to Bid,IFB #210004279 / Construction - Non Capital / Department of Public Utilities / Wastewater Treatment Plant City and Plant Water Improvements / Performance Term of 365 days. No additional terms.,Construction - Capital/Non-Capital,10/10/2021 12:00:00 AM,10/09/2023 12:00:00 AM
"Parks, Recreation and Community Facilities",22000001553,659359.00,"J.R. Caskey, Inc. - INACTIVE",Invitation to Bid,"IFB / Construction - Non Capital / Parks, Recreation & Community Facilities / Contract Duration 180 consecutive calendar days.",Construction - Term,08/10/2021 12:00:00 AM,08/09/2022 12:00:00 AM
Public Utilities,22000001765,22000000.00,G.L. HOWARD INC,Invitation to Bid,IFB / Non Capital Construction Services / Department of Public Utilities / Stormwater and Wastewater Systems Maintenance and Repair Annual Services Contract / Initial Term Two (2) Years with Four (4) - One (1) Year renewals and extension.,Construction - Term,04/26/2021 12:00:00 AM,04/25/2026 12:00:00 AM
Information Technology,22000002190,98100.00,CALERO HOLDINGS INC,Cooperative Agreement,Req# 210011936 / Cooperative Agreement / JMU Contract# UCPJMU3947 / DIT / Telecommunication Services for ONE YEAR ONLY / Will need new method of procurement to purchase beyond 6/30/2022.,"Non Professional Services, Technology",07/01/2021 12:00:00 AM,06/30/2022 12:00:00 AM
Public Utilities,22000002334,18450.90,"Ramboll Americas Engineering Solutions, Inc",Agency Request,Contractor name change and to pay outstanding invoices.,"Non Professional Services, Non Technology",09/01/2021 12:00:00 AM,10/31/2021 12:00:00 AM
Fire and Emergency Services,22000002577,21722.31,WITMER PUBLIC SAFETY GROUP INC,Cooperative Agreement,Requisition 220001948/Emergency Medical & Rescue Equipment/ QUOTE ID: 726042 - HGAC CONTRACT EE08-19 - THERMAL IMAGER POWERHOUSE BUNDLE/ UPGRADE,"Supplies, Non Technology",09/08/2021 12:00:00 AM,07/31/2022 12:00:00 AM
,22000002736,1000.00,Validation Test - DELETE - INACTIVE,,,,09/06/2021 12:00:00 AM,09/20/2021 12:00:00 AM
Information Technology,22000002843,99589.12,PITNEY BOWES INC,Cooperative Agreement,Requisition 220000059/SendPro P Series,Equipment - Technology,05/02/2022 12:00:00 AM,05/01/2026 12:00:00 AM
Economic Development,22000002921,9600.00,"Costar Realty Information, Inc",Small Purchase,Small / Technology - Software / Department of Economic and Community Development / Subsription to Costar Suite / Term of 1 year only with no additional terms,"Supplies, Technology",09/13/2021 12:00:00 AM,09/12/2022 12:00:00 AM
Finance,22000002928,1000000.00,WELLS FARGO BANK,Request for Proposal,Commercial Banking Services and Addition of Lock Box Services,"Non Professional Services, Non Technology",10/01/2021 12:00:00 AM,09/30/2026 12:00:00 AM
Public Works,22000003265,278268.00,SIMONS CONTRACTING CO,Invitation to Bid,IFB / Construction - Non Capital / Department of Public Works / 2020 Traffic Calming Project (Project 106362) / Performance Period - 90 Consecutive Calendar Days,Construction - Capital/Non-Capital,10/01/2021 12:00:00 AM,04/28/2023 12:00:00 AM
City Council,22000003267,314250.00,VPM Media Corp,Agency Request,Sole Source / Services Non Professional - Non Technical / City Council / Public Broadcasting Services for City Council/ Term 3 of 4,"Non Professional Services, Non Technology",09/22/2021 12:00:00 AM,06/30/2026 12:00:00 AM
Emergency Communication,22000003273,1007648.00,MEDICAL PRIORITY CONSULTANTS,Agency Request,"Sole Source, Req 220003117/ Services Non-Professional and Non - Technology / Department of Emergency Communications / Licensing, Training, implementation, and Maintenance / Initial Term of One (1) year / Four (4) - One (1) year rene.","Non Professional Services, Technology",04/01/2022 12:00:00 AM,03/31/2027 12:00:00 AM
Fire and Emergency Services,22000003444,1292612.00,ATLANTIC EMERGENCY SOLUTIONS INC,Cooperative Agreement,Cooperative / Commodity / Fire & Emergency Services / HGAC Contract FS12-19 for (2) 2022 Pierce Enforcer Triple Combination Pumpers / No additional terms.,"Supplies, Non Technology",09/30/2021 12:00:00 AM,11/30/2021 12:00:00 AM
Public Utilities,22000003445,380000.00,Stone Brewing Co. LLC,Invitation to Bid,IFB / Commodity / Department of Public Utilities / Brewery Lauter Tun Drainage Byproduct / Initial term of Two (2) years with Two (2) - Two (2) year renewals and extension.,"Non Professional Services, Non Technology",10/07/2021 12:00:00 AM,10/06/2027 12:00:00 AM
Animal Care and Control,22000003821,70000.00,VETERINARY EMERGENCY CTR INC,Small Purchase,"Small / Professional Services / Animal Care & Control / Emergency Vet Services until December 15th, 2021 / No additional terms","Non Professional Services, Non Technology",10/21/2021 12:00:00 AM,12/15/2021 12:00:00 AM
Public Utilities,22000004259,2683287.78,HEATH CONSULTANTS INC,Request for Proposal,RFP 210012910/Natural Gas Leakage Survey/3-year Initial Term,"Non Professional Services, Non Technology",12/16/2021 12:00:00 AM,12/15/2026 12:00:00 AM
Public Works,22000004711,690906.00,WACO INC,Invitation to Bid,IFB / Construction / Department of Public Works / Fleet Maintenance Paint Booth / Perf. Period 270 Consecutive calendar days,Construction - Capital/Non-Capital,11/01/2021 12:00:00 AM,04/03/2023 12:00:00 AM
Police Department,22000004801,7835256.00,AXON ENTERPRISE INC,Request for Proposal,(Initial Term 5 Years/One 1 Year Renewal) RFP / Supplies - Non Technology / Richmond Police Department / Body Worn Cameras and Conducted Energy Weapon / Initial Five (5) years with One (1) - One (1) year renewal and extension.,Equipment - Non Technology,12/01/2021 12:00:00 AM,11/30/2026 12:00:00 AM
Public Works,22000005087,390992.08,BROOKS AND COMPANY GENERAL CONTRACTORS INC,Invitation to Bid,IFB / Capital Construction / Department of Public Works / City of Richmond Fire Academy Restroom Renovation / Term is 225 days from Notice to Proceed,Construction - Capital/Non-Capital,11/22/2021 12:00:00 AM,11/22/2023 12:00:00 AM
Public Utilities,22000005089,202387.93,Happy Valley Intermediate Holdco,Request for Proposal,SUST/Energy Accounting Information System/Extension/11092-ISF,"Non Professional Services, Technology",,12/31/2021 12:00:00 AM
Public Utilities,22000005091,55260.36,Happy Valley Intermediate Holdco,Agency Request,Requisition 210004027/EnergyCAP Software Maintenance/2-Year Term with (2) 2-Year Renewals.,"Non Professional Services, Technology",01/01/2022 12:00:00 AM,12/31/2028 12:00:00 AM
Public Works,22000005159,329357.04,ADDO ENTERPRISE INC,Invitation to Bid,Oak Grove Elementary School Pedestrian Safety Improvement Project,Construction - Term,01/07/2022 12:00:00 AM,03/07/2023 12:00:00 AM
Public Works,22000005447,241071.31,Richardson-Wayland Electrical Company,Invitation to Bid,IFB / Construction / Department of Public Works / Broad Street @ 16th Street Pedestrian Hybrid Beacon Project (UPC 111164) / Term of 240 calendar days.,Construction - Capital/Non-Capital,11/23/2021 12:00:00 AM,11/22/2022 12:00:00 AM
Public Works,22000005481,661015.16,B & B SIGNAL CO LLC,Invitation to Bid,IFB#220001319 - HSIP Pedestrian Improvements at Signalized Intersections - Phase 1B (UPC 116746); 240 consecutive days.,Construction - Capital/Non-Capital,04/15/2022 12:00:00 AM,05/16/2023 12:00:00 AM
Public Utilities,22000005764,2328000.00,WACO INC,Invitation to Bid,IFB #220001369 / Construction / DPU / Douglasdale and McCloy Pumping Station Improvements Project / Perf Period of 360 consecutive calendar days,Construction - Capital/Non-Capital,12/10/2021 12:00:00 AM,12/11/2023 12:00:00 AM
Public Works,22000005987,1835797.90,B & B SIGNAL CO LLC,Invitation to Bid,IFB 22000192 / Construction / DPW / Systemic Pedestal To Mast Arm Signal Improvements Project (UPC 110841) / Performance Period - 390 consecutive calendar days.,Construction - Capital/Non-Capital,12/16/2021 12:00:00 AM,07/25/2023 12:00:00 AM
Minority Business Development,22000006051,400501.74,MGT Impact Solutions LLC,Request for Proposal,Disparity Study Services for the City of Richmond Virginia,"Non Professional Services, Non Technology",12/20/2021 12:00:00 AM,12/19/2023 12:00:00 AM
Public Works,22000006090,28842359.55,SP PLUS CORPORATION,Request for Proposal,RFP / Services - Non-Professional and Non-Technology / Department of Public Works / Parking Operations Services / Initial Term of Five (5) years with Three (3) One (1) year renewal and extension.,"Non Professional Services, Non Technology",12/20/2021 12:00:00 AM,12/19/2026 12:00:00 AM
Public Works,22000006139,1034525.50,CORMAN CONSTRUCTION INC - INACTIVE,Invitation to Bid,"Closed New Contract #23-8807; IFB / Construction - Annual / DPW / Annual Bridge Maintenance / Initial Term of Two (2) years with Two (2) - Two (2) year renewals / Initial term set 1.5mil 465,474.50 spent on contract 22000001081",Construction - Term,12/31/2021 12:00:00 AM,08/04/2023 12:00:00 AM
Human Resources,22000006367,767826.03,SHI INTERNATIONAL CORP,Cooperative Agreement,Requisition 220005802/OMNIA Cooperative Agreement 2018011/NeoGOV Annual Bundle - Year 1 (LMS Subscription and Onboard Subscription),"Non Professional Services, Technology",12/30/2021 12:00:00 AM,02/28/2023 12:00:00 AM
Public Works,22000006503,1943896.00,K&C SHELF CORPORATION SIXTY,Agency Request,Updated contract amount for five (5) year term; Sole Source / Services/ DPW/ Service and Preventive Maintenance for Parking Access and Revenue Control Equipment. / Initial Five (5) years with Four (4) - One (1) year renewals,"Non Professional Services, Non Technology",01/20/2022 12:00:00 AM,01/19/2027 12:00:00 AM
Public Utilities,22000006510,11348372.28,AECOM Technical Services,Request for Proposal,RFP/Professional Services/ Department of Public Utilities / Wastewater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006519,18866583.53,WHITMAN REQUARDT AND ASSOC,Request for Proposal,RFP / Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006521,16643124.00,GFT Infrastructure,Request for Proposal,RFP/Professional Services /Department of Public Utilities / Water Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006522,8451227.00,ARCADIS U S INC,Request for Proposal,RFP / Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006545,9320673.23,A Morton Thomas and Associates Inc,Request for Proposal,RFP / Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006559,17710169.88,Hazen and Sawyer D.P.C.,Request for Proposal,RFP / Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006591,11136347.60,RUMMEL KLEPPER AND KAHL LLP,Request for Proposal,RFP/ Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006592,9003493.92,Brown and Caldwell,Request for Proposal,RFP/Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006593,10335092.55,Hazen and Sawyer D.P.C.,Request for Proposal,RFP / Professional Services / Department of Public Utilities / Wastewater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006663,8000000.00,Jacobs Project Management Co.,Request for Proposal,RFP / Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension.,Professional Services,01/19/2022 12:00:00 AM,01/18/2023 12:00:00 AM
Public Utilities,22000006665,8000000.00,Jacobs Project Management Co.,Request for Proposal,RFP / Professional Services / Department of Public Utilities / Wastewater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension.,Professional Services,01/19/2022 12:00:00 AM,01/18/2023 12:00:00 AM
Public Utilities,22000006666,8000000.00,Jacobs Project Management Co.,Request for Proposal,RFP / Professional Services / Department of Public Utilities / Water Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension.,Professional Services,01/19/2022 12:00:00 AM,01/18/2023 12:00:00 AM
Public Utilities,22000006667,16913673.89,Brown and Caldwell,Request for Proposal,RFP/Professional Services / Department of Public Utilities / Wastewater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006668,8522530.25,RUMMEL KLEPPER AND KAHL LLP,Request for Proposal,Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006669,9582710.40,RUMMEL KLEPPER AND KAHL LLP,Request for Proposal,RFP/ Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006670,18678782.00,GREELEY AND HANSEN LLC,Request for Proposal,RFP Professional Services / Department of Public Utilities / Water Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006671,19361538.77,GREELEY AND HANSEN LLC,Request for Proposal,RFP/Professional Services/ Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
Public Utilities,22000006672,17340381.37,GREELEY AND HANSEN LLC,Request for Proposal,RFP/Professional Services/ Department of Public Utilities / Waste Water Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 4.,Professional Services,01/19/2022 12:00:00 AM,01/18/2027 12:00:00 AM
City Auditor,22000006688,300000.00,Accenture LLP,Cooperative Agreement,Close - Fully released 4-28-22 City of Richmond Fiscal and Efficiency Review,"Non Professional Services, Non Technology",01/10/2022 12:00:00 AM,03/18/2022 12:00:00 AM
Public Works,22000006820,1817821.22,"Team Henry Enterprises, LLC",Invitation to Bid,"IFB / Construction /Department of Public Works / Statue and Grave Removal, Pedestal Removal, Site Work, and Statuary Storage Relocation",Construction - Term,01/13/2022 12:00:00 AM,05/01/2023 12:00:00 AM
City Wide,22000006932,1200000.00,Guernsey Inc,Cooperative Agreement,"Citywide Office Supplies No Funds update Cooperative Contract/OMNIA R190301/expires May 31, 2024 with the option to renew for five (1) additional one-year periods through May 31, 2029","Supplies, Non Technology",01/13/2022 12:00:00 AM,05/31/2026 12:00:00 AM
Public Works,22000007036,660463.20,ADDO ENTERPRISE INC,Invitation to Bid,IFB 220004191 / Construction / Department of Public Works / Shockoe Bottom Cobblestone Restoration - Phase 1B / Performance Time 180 Days,Construction - Capital/Non-Capital,01/13/2022 12:00:00 AM,01/13/2024 12:00:00 AM
Public Utilities,22000007084,5129900.00,MESSER CONTRACTING LLC,Invitation to Bid,"IFB-220004025, Annual Stormwater Repair, Replacement and New Installations for Capital Improvement Projects / Construction / DPU / Initial 2 Years with up to two (2) 2-year renewals. Req-220008243",Construction - Capital/Non-Capital,02/04/2022 12:00:00 AM,02/03/2026 12:00:00 AM
Public Utilities,22000007086,36649650.20,POSSIE B CHENAULT INC,Invitation to Bid,"IFB - Requisition #220004025 / Construction - Term / Department of Public Utilities / Annual Stormwater Repair, Replacement and New Installations for Capital Improvement Projects / Initial Two (2) years / Two (2) - Two (2) year renewals.",Construction - Term,02/04/2022 12:00:00 AM,02/03/2028 12:00:00 AM
Public Utilities,22000007087,44836375.00,Tidewater Utility Construction,Invitation to Bid,"IFB - Requisition #220004025 / Construction -Term / Department of Public Utilities / Annual Stormwater Repair, Replacement and New Installations for Capital Improvement Projects / Initial Two (2) year term / Two (2) - Two (2) year renewals",Construction - Capital/Non-Capital,02/09/2022 12:00:00 AM,02/08/2028 12:00:00 AM
Public Utilities,22000007089,16000000.00,MESSER CONTRACTING LLC,Invitation to Bid,IFB #220004015 / Construction - Non-Capital / Department of Public Utilities / Replacement of Sewer Installations / Initial Two (2) Years with Two (2) - Two (2) year renewals and extension.,Construction - Capital/Non-Capital,02/04/2024 12:00:00 AM,02/03/2026 12:00:00 AM
Public Utilities,22000007091,27985314.67,Tidewater Utility Construction,Invitation to Bid,"IFB - Requisition #220004015 / Construction - Term / Department of Public Utilities / Combined Sewer Repair, Replacement and New Installations / Initial Two (2) Years with Two (2) - Two (2) year renewals and extension.",Construction - Capital/Non-Capital,02/09/2026 12:00:00 AM,02/08/2028 12:00:00 AM
Public Utilities,22000007189,1040000.00,McCarter & English,Exempt Purchase,"Demand / Professional Services / Department of Public Utilities / DPU Legal Services - Federal Energy Regulatory Commission. Ref. Engagement Letter, Amendment dtd. June 22, 2021. / No additional terms",Professional Services,01/19/2022 12:00:00 AM,01/18/2026 12:00:00 AM
Public Utilities,22000007299,12535200.00,Southwood Building Systems Inc,Invitation to Bid,"IFB-220003101, Chimborazo Drop Shaft and Sanitary Sewer Replacement, Phase I / Construction / DPU / Performance Period - 660 consecutive calendar days",Construction - Capital/Non-Capital,01/31/2022 12:00:00 AM,03/25/2024 12:00:00 AM
Public Works,22000007392,6038044.85,Lumin8 Technologies Services LLC,Invitation to Bid,IFB / Construction - Non-Capital / Department of Public Works / Richmond Signal System – Phase III Project (UPC 105890) / 600 consecutive calendar days,Construction - Capital/Non-Capital,02/28/2022 12:00:00 AM,08/04/2025 12:00:00 AM
Public Works,22000007482,935041.06,ComSonics Inc,Agency Request,Sole Source - Equipment Services - Genetec AutoVu License Plate Recognition (LPR) System.,"Non Professional Services, Non Technology",10/06/2022 12:00:00 AM,10/05/2026 12:00:00 AM
Public Works,22000007483,485875.00,IPS Group Inc,Agency Request,"Sole Source - Single space parking meters; spare parts, warranty and repairs.","Non Professional Services, Non Technology",05/13/2022 12:00:00 AM,05/12/2027 12:00:00 AM
Public Works,22000007534,319681.25,FLB Contractors Inc,Invitation to Bid,"Sidewalk Improv/Repairs - Pkg #1; 600 Roseneath Rd., 800 W. Laburnum Ave., 900 W. Laburnum Ave., 800 Westover Hills Blvd., 1500 Westover Hills Blvd., 3200 Ellwood Ave., 4200 Patterson Ave., 4600 Forest Hill Ave., and 5200 Forest Hill Ave.",Construction - Capital/Non-Capital,01/28/2022 12:00:00 AM,01/27/2023 12:00:00 AM
